DATE,M2SL_PC1
1993-11-01,1.27244
1993-12-01,1.45414
1994-01-01,1.63201
1994-02-01,1.79236
1994-03-01,2.00487
1994-04-01,2.05200
1994-05-01,1.56827
1994-06-01,1.07774
1994-07-01,1.34224
1994-08-01,1.16087
1994-09-01,0.98198
1994-10-01,0.79845
1994-11-01,0.49278
1994-12-01,0.34250
1995-01-01,0.50361
1995-02-01,0.40855
1995-03-01,0.31608
1995-04-01,0.51418
1995-05-01,0.95680
1995-06-01,1.99454
1995-07-01,2.27051
1995-08-01,2.96354
1995-09-01,3.32750
1995-10-01,3.70519
1995-11-01,3.80535
1995-12-01,4.10452
1996-01-01,4.45253
1996-02-01,4.92564
1996-03-01,5.60855
1996-04-01,5.67273
1996-05-01,5.26077
1996-06-01,4.89166
1996-07-01,4.75697
1996-08-01,4.31875
1996-09-01,4.20033
1996-10-01,4.41136
1996-11-01,4.83991
1996-12-01,5.21008
1997-01-01,5.11801
1997-02-01,5.03851
1997-03-01,4.72755
1997-04-01,4.84896
1997-05-01,4.84149
1997-06-01,4.92948
1997-07-01,4.99853
1997-08-01,5.69979
1997-09-01,5.85336
1997-10-01,5.81796
1997-11-01,5.78904
1997-12-01,5.61200
1998-01-01,5.77896
1998-02-01,6.30736
1998-03-01,6.55496
1998-04-01,6.78875
1998-05-01,7.07601
1998-06-01,7.11982
1998-07-01,7.13321
1998-08-01,6.85551
1998-09-01,7.41235
1998-10-01,7.90021
1998-11-01,8.25944
1998-12-01,8.48769
1999-01-01,8.54001
1999-02-01,8.22715
1999-03-01,7.72428
1999-04-01,7.74117
1999-05-01,7.70579
1999-06-01,7.72209
1999-07-01,7.86669
1999-08-01,7.63828
1999-09-01,7.03206
1999-10-01,6.58820
1999-11-01,6.07629
1999-12-01,6.00658
2000-01-01,5.98737
2000-02-01,5.74198
2000-03-01,6.27468
2000-04-01,6.84646
2000-05-01,5.98845
2000-06-01,5.87061
2000-07-01,5.62135
2000-08-01,5.83958
2000-09-01,6.25041
2000-10-01,6.04813
2000-11-01,5.85186
2000-12-01,6.18801
2001-01-01,6.63281
2001-02-01,7.15263
2001-03-01,7.68120
2001-04-01,7.75896
2001-05-01,7.97451
2001-06-01,8.41821
2001-07-01,8.64409
2001-08-01,8.71199
2001-09-01,10.20358
2001-10-01,9.60938
2001-11-01,10.25552
2001-12-01,10.33096
2002-01-01,9.61473
2002-02-01,9.35961
2002-03-01,8.34385
2002-04-01,6.99975
2002-05-01,7.56867
2002-06-01,7.20982
2002-07-01,7.41246
2002-08-01,7.53074
2002-09-01,5.75125
2002-10-01,6.80707
2002-11-01,6.87258
2002-12-01,6.22401
2003-01-01,6.42636
2003-02-01,6.51603
2003-03-01,6.66400
2003-04-01,7.34068
2003-05-01,7.92900
2003-06-01,8.10421
2003-07-01,8.11580
2003-08-01,8.33156
2003-09-01,7.36917
2003-10-01,6.37148
2003-11-01,5.53855
2003-12-01,5.11608
2004-01-01,4.66699
2004-02-01,4.68437
2004-03-01,4.92544
2004-04-01,4.95694
2004-05-01,5.18182
2004-06-01,4.57805
2004-07-01,3.99821
2004-08-01,3.43889
2004-09-01,4.48722
2004-10-01,5.10753
2004-11-01,5.44891
2004-12-01,5.78511
2005-01-01,5.74438
2005-02-01,5.20910
2005-03-01,4.74464
2005-04-01,4.27542
2005-05-01,3.27372
2005-06-01,3.75249
2005-07-01,4.02750
2005-08-01,4.11371
2005-09-01,4.08176
2005-10-01,4.16268
2005-11-01,3.98762
2005-12-01,4.10701
2006-01-01,4.66651
2006-02-01,4.90922
2006-03-01,4.98300
2006-04-01,5.33156
2006-05-01,5.15348
2006-06-01,5.21227
2006-07-01,5.33698
2006-08-01,5.27990
2006-09-01,5.14665
2006-10-01,5.34299
2006-11-01,5.61082
2006-12-01,5.83217
2007-01-01,5.72996
2007-02-01,5.58190
2007-03-01,5.85843
2007-04-01,6.34108
2007-05-01,6.44199
2007-06-01,6.33610
2007-07-01,6.13827
2007-08-01,6.76584
2007-09-01,6.60983
2007-10-01,6.06152
2007-11-01,5.88185
2007-12-01,5.65643
2008-01-01,5.56853
2008-02-01,6.53025
2008-03-01,6.94361
2008-04-01,6.47048
2008-05-01,6.42891
2008-06-01,6.18663
2008-07-01,6.38117
2008-08-01,5.48537
2008-09-01,6.16355
2008-10-01,7.38958
2008-11-01,7.71319
2008-12-01,9.64318
2009-01-01,10.23516
2009-02-01,9.38661
2009-03-01,9.31402
2009-04-01,8.75026
2009-05-01,9.33058
2009-06-01,9.20700
2009-07-01,8.61306
2009-08-01,8.40543
2009-09-01,7.43940
2009-10-01,6.35004
2009-11-01,6.05055
2009-12-01,3.70967
2010-01-01,2.22875
2010-02-01,2.46053
2010-03-01,1.61543
2010-04-01,1.93840
2010-05-01,1.88834
2010-06-01,1.99633
2010-07-01,2.05681
2010-08-01,2.65364
2010-09-01,3.03048
2010-10-01,3.28529
2010-11-01,3.16676
2010-12-01,3.59934
2011-01-01,4.31539
2011-02-01,4.46082
2011-03-01,5.16197
2011-04-01,5.50309
2011-05-01,5.65315
2011-06-01,6.29574
2011-07-01,8.09625
2011-08-01,9.67228
2011-09-01,9.51943
2011-10-01,9.28864
2011-11-01,9.60775
2011-12-01,9.75141
2012-01-01,10.31610
2012-02-01,10.11376
2012-03-01,9.91894
2012-04-01,9.76913
2012-05-01,9.39783
2012-06-01,9.27003
2012-07-01,7.89129
2012-08-01,6.45484
2012-09-01,7.05792
2012-10-01,7.37495
2012-11-01,7.54218
2012-12-01,8.27735
2013-01-01,7.70140
2013-02-01,7.31271
2013-03-01,7.40240
2013-04-01,7.09892
2013-05-01,6.97595
2013-06-01,6.79448
2013-07-01,6.63165
2013-08-01,6.47446
2013-09-01,6.23873
2013-10-01,6.76225
2013-11-01,6.11457
2013-12-01,5.50016
2014-01-01,5.94110
2014-02-01,6.37921
2014-03-01,6.15440
2014-04-01,6.29871
2014-05-01,6.56153
2014-06-01,6.50641
2014-07-01,6.61479
2014-08-01,6.26635
2014-09-01,6.05784
2014-10-01,5.53295
2014-11-01,5.82605
2014-12-01,5.95378
2015-01-01,5.93299
2015-02-01,6.26253
2015-03-01,6.02689
2015-04-01,5.95480
2015-05-01,5.62383
2015-06-01,5.51281
2015-07-01,5.44743
2015-08-01,5.66107
2015-09-01,5.80318
2015-10-01,5.46935
2015-11-01,5.86624
2015-12-01,5.63291
2016-01-01,6.08095
2016-02-01,5.69380
2016-03-01,6.10674
2016-04-01,6.45464
2016-05-01,6.76655
2016-06-01,6.90138
2016-07-01,6.96852
2016-08-01,7.23955
2016-09-01,7.22327
2016-10-01,7.44541
2016-11-01,7.24096
2016-12-01,6.97861
2017-01-01,6.43830
2017-02-01,6.38734
2017-03-01,6.40321
2017-04-01,6.18146
2017-05-01,6.05173
2017-06-01,5.69660
2017-07-01,5.69374
2017-08-01,5.43919
2017-09-01,5.27874
2017-10-01,5.12922
2017-11-01,4.76414
2017-12-01,4.84768
2018-01-01,4.35352
2018-02-01,4.13018
2018-03-01,4.03452
2018-04-01,3.73440
2018-05-01,3.77151
2018-06-01,4.03850
2018-07-01,3.83015
2018-08-01,3.73630
2018-09-01,3.62195
2018-10-01,3.28772
2018-11-01,3.16782
2018-12-01,3.62593
2019-01-01,4.00597
2019-02-01,3.99298
2019-03-01,3.85944
2019-04-01,3.93614
2019-05-01,4.25168
2019-06-01,4.66644
2019-07-01,4.96207
2019-08-01,5.18276
2019-09-01,5.59102
2019-10-01,6.46167
2019-11-01,7.07336
2019-12-01,6.67628
2020-01-01,6.68304
2020-02-01,6.76541
2020-03-01,10.10782
2020-04-01,16.88046
2020-05-01,21.90407
2020-06-01,22.87375
2020-07-01,23.21044
2020-08-01,23.01859
2020-09-01,23.77845
2020-10-01,23.68273
2020-11-01,24.30209
2020-12-01,24.70729
2021-01-01,25.63229
2021-02-01,26.74585
2021-03-01,24.04022
2021-04-01,18.49575
2021-05-01,14.44521
2021-06-01,12.84421
2021-07-01,12.74565
2021-08-01,13.45153
2021-09-01,12.77096
2021-10-01,12.81938
2021-11-01,12.45405
2021-12-01,12.58398
2022-01-01,11.57015
2022-02-01,10.50573
2022-03-01,9.70539
2022-04-01,7.93582
2022-05-01,6.17636
2022-06-01,5.75047
2022-07-01,4.93627
2022-08-01,3.75943
2022-09-01,2.73494
2022-10-01,1.53833
2022-11-01,0.39680
2022-12-01,-0.88928
2023-01-01,-1.55761
2023-02-01,-2.14715
2023-03-01,-3.76642
2023-04-01,-4.49952
2023-05-01,-3.93614
2023-06-01,-3.83365
2023-07-01,-3.92598
2023-08-01,-3.94840
2023-09-01,-3.84510
2023-10-01,-3.63224
2023-11-01,-3.27025
2023-12-01,-2.60590
2024-01-01,-2.20752
2024-02-01,-1.90066
2024-03-01,-0.29039
2024-04-01,0.60400
2024-05-01,0.60420
